,target,feature,weight
0,1,תלמוד,2.9415385401471306
1,1,וגו,2.8401227988698268
2,1,לומר,2.7426869101469347
3,1,רבי,2.6205332904111938
4,1,שנאמר,2.245495064192734
5,1,<BIAS>,2.0154487524545184
6,1,שהוא,1.113074314260304
7,1,מנין,0.9533239366942383
8,1,אומרים,0.8720235530775268
9,1,וכתיב,0.8104376106968868
10,1,שומע,0.7141406990225285
11,1,אינו,0.7084545259623651
12,1,ואומר,0.6891510371423296
13,1,אחר,0.6806819376156422
14,1,ומה,0.6803095946291339
15,1,הכתוב,0.6753329056917549
16,1,מגיד,0.6699824893441846
17,1,או,0.634777444577473
18,1,עליהם,0.5817659156560838
19,1,הקדוש,0.5617188567190736
20,1,לכך,0.5572376127532269
21,1,דברים,0.5528845794334538
22,1,ברוך,0.5515246370152239
23,1,להם,0.5457009060879039
24,1,זרה,0.5407718421507356
25,1,הא,0.5224716541629596
26,1,עקיבא,0.5144999574198599
27,1,מכאן,0.5132909273821125
28,1,להביא,0.48495344634403165
29,1,שהם,0.43113616701554697
30,1,להוציא,0.4247501334500914
31,1,אמרת,0.41843122471926614
32,1,עצמו,0.4087583787804561
33,1,מדבר,0.3995488096168482
34,1,שעה,0.39291963617790626
35,1,יורד,0.38599919697684093
36,1,העם,0.38118893361056017
37,1,למה,0.3808521466886691
38,1,מהם,0.3783864527042067
39,1,ישמעאל,0.37168773359527096
40,1,בראשית,0.3686631547344324
41,1,בפני,0.3641841621816784
42,1,כיצד,0.34807198842867854
43,1,נתנה,0.3443232126409172
44,1,בהר,0.3440194897130568
45,1,ומנין,0.34241393360742806
46,1,הראשון,0.334979026941486
47,1,רשאי,0.32881201429804824
48,1,שמות,0.3267093223122537
49,1,כשהוא,0.32242959499715096
50,1,תהלים,0.32061731608036903
51,1,במקום,0.31962133407316207
52,1,מהו,0.31610496580620945
53,1,וכי,0.30876803423454785
54,1,הואיל,0.3068836232028958
55,1,וכו,0.30038098624670384
56,1,נאמר,0.2976681097360481
57,1,שהיה,0.2825291943583755
58,1,פי,0.2794688778057153
59,1,הם,0.27865203462074684
60,1,ועכשיו,0.2725134040417752
61,1,והרי,0.2683279526023407
62,1,יודע,0.266596551110824
63,1,אהרן,0.26524708884252296
64,1,נתן,0.26192901269355184
65,1,יוסף,0.25912179329681045
66,1,שאינו,0.25722499236942503
67,1,כח,0.2547707308378706
68,1,במשמע,0.2483843041423707
69,1,בסתר,0.2468650487885742
70,1,שמו,0.24582132458294645
71,1,אותם,0.24067585365572106
72,1,בהמה,0.23597965334470977
73,1,מחר,0.233724874138458
74,1,ואו,0.2332007155479833
75,1,יונתן,0.22964926091849316
76,1,למדת,0.22498917402703414
77,1,הרי,0.22392528360909106
78,1,דוד,0.22365564905095936
79,1,וכהא,0.22358439992066087
80,1,ויהי,0.2214257828183365
81,1,לבא,0.2207161510172952
82,1,ואף,0.2192258295760888
83,1,דן,0.21545230396459109
84,1,לנו,0.209895790393088
85,1,וזה,0.20944950703171583
86,1,מת,0.2081610642576675
87,1,ההר,0.2080052690776231
88,1,והם,0.2061716449838882
89,1,עומדים,0.20488028146670573
90,1,אי,0.20470279941330974
91,1,ישעיה,0.20427383099798557
92,1,הקיש,0.2016307097503618
93,1,הולך,0.1987615614879505
94,1,איפשר,0.19825181827105565
95,1,יש,0.19733344931504268
96,1,נרצע,0.19317765487305003
97,1,אני,0.19309264033972717
98,1,ואומ,0.1908781249876884
99,1,באפלה,0.18859036599216836
100,1,מוצא,0.18834316681075586
101,1,עלי,0.18822874627131603
102,1,יחזקאל,0.18729428259462247
103,1,עבודה,0.1811629657069844
104,1,בעל,0.17996590975107057
105,1,כלם,0.17951323317024517
106,1,נאם,0.1785559863607883
107,1,שניהם,0.17647346627177501
108,1,נכרי,0.17638860665552128
109,1,קורא,0.17561289175160186
110,1,קבל,0.17557160651381037
111,1,מועד,0.1744612324481497
112,1,חותן,0.17417059019542078
113,1,אבות,0.1735302706448096
114,1,כביכול,0.17335610304523597
115,1,בלבד,0.17322528097118287
116,1,ואי,0.17299407863921534
